Tiempo;PM10;PM2.5;Vel Viento;Precipitacion;Dir Viento;OZONO;CO;NO;NO2;NOX;SO2;Temperatura
1/01/2023 1:00;29,8;23;0,4;0;281;14,2;0,3;1,7;5,8;7,5;0,8;11,9
1/01/2023 2:00;26,1;26;0,7;0;334;11;0,3;2,5;6,1;8,6;0,9;11,8
1/01/2023 3:00;31,7;27;0,6;0;323;11,9;0,3;2,3;6,6;8,9;0,9;11,8
1/01/2023 4:00;28;28;0,5;0;329;9,5;0,3;2,5;7,7;10,2;0,8;11,4
1/01/2023 5:00;32;26;0,5;0;321;11,3;0,3;2,4;5,8;8,3;0,9;10,8
1/01/2023 6:00;23,5;21;0,2;0;326;9,5;0,3;1,6;6,6;8,2;0,7;10,8
1/01/2023 7:00;26;25;0,1;0;180;6;0,4;2,9;8,2;11,1;0,7;10,7
1/01/2023 8:00;29,6;28;0,6;0;9;11,4;0,5;7,3;8,3;15,6;1;16,5
1/01/2023 9:00;32,6;27;1,2;0;306;24,6;0,3;4,5;13,1;17,6;1,3;19,4
1/01/2023 10:00;30;22;0,5;0;352;28,2;0,3;3,1;7,7;10,7;1,4;18,1
1/01/2023 11:00;21,3;18;0,7;0;216;36,5;0,2;1,8;4,4;6,2;1,5;21,6
1/01/2023 12:00;23,9;16;0,7;0;179;38;0,2;0,9;3,3;4,1;1,4;21,1
1/01/2023 13:00;17,6;8;0,8;0;212;36,6;0,2;0,8;2,6;3,4;3,1;23,2
1/01/2023 14:00;15;7;2,8;0;308;43,6;0,2;1;3,3;4,3;2,2;21,2
1/01/2023 15:00;24,1;17;4,4;0;291;55,7;0,3;1;4,1;5,1;2,2;21
1/01/2023 16:00;0;26;3,8;0,5;280;43,9;0,3;0,8;5;5,7;1,8;16
1/01/2023 17:00;0;24;1,9;0,7;261;34,6;0,3;0,9;5,8;6,6;1,8;14,8
1/01/2023 18:00;29,5;27;3;0;274;32,6;0,3;0,7;5,4;6,1;1,7;14,3
1/01/2023 19:00;21,6;17;1,5;1,5;269;22,7;0,3;0,7;6,9;7,6;1,7;13,6
1/01/2023 20:00;19;19;0,9;0,3;297;13,5;0,4;1,3;8,8;10,1;1,6;12,8
1/01/2023 21:00;17;17;1,3;1,2;23;11,1;0,4;2;8,2;10,1;1,5;12,6
1/01/2023 22:00;17;17;0,5;0,3;292;7,3;0,4;2,4;8,7;11,1;1,4;12,2
1/01/2023 23:00;18,9;14;0,1;0,1;77;7,8;0,3;1,9;10;11,9;1,3;11,9
2/01/2023 0:00;13,9;9;0,4;0;207;7,6;0,3;1,7;12;13,6;1,2;11,5
2/01/2023 1:00;14,3;10;0,2;0;182;5,8;0,3;2,1;9,6;11,7;1,1;10,9
2/01/2023 2:00;15;15;0,3;0;334;3,9;0,3;2,4;9;11,4;1;10,6
2/01/2023 3:00;8;7;0,2;0;216;4,4;0,3;1,9;9,5;11,4;1;11,1
2/01/2023 4:00;11;11;0,5;0;74;6,7;0,3;2;7,5;9,5;1;11,4
2/01/2023 5:00;0;12;0,1;0;356;9,2;0,2;1,6;3,9;5,6;1;11,4
2/01/2023 6:00;12,4;9;0,4;0;6;3,4;0,2;2,2;5,7;7,9;0,9;11,2
2/01/2023 7:00;13,6;9;0,8;0;54;2,5;0,3;4,9;8,8;13,7;1;11,7
2/01/2023 8:00;10,7;8;1,1;0;3;5,7;0,4;12,7;8,7;21,5;1,2;13,2
2/01/2023 9:00;16,3;8;1,3;0;327;11,3;0,4;10,5;12,6;23,1;1,4;15,7
2/01/2023 10:00;17,8;17;1;0;335;17,2;0,4;7,7;11,7;19,4;1,7;16,9
2/01/2023 11:00;16,4;14;0,3;0;251;27,4;0,3;6,4;8,1;14,5;1,9;19,6
2/01/2023 12:00;16,3;15;0,9;0;303;39,1;0,3;4;7,7;11,6;2;22
2/01/2023 13:00;21,6;15;2,4;0;301;44;0,3;3,3;8,1;11,4;2,3;22,1
2/01/2023 14:00;0;24;3,7;0,5;303;41;0,3;1,5;5,9;7,4;2;17,5
2/01/2023 15:00;13,8;12;3,6;0;292;37,8;0,3;1,5;5,8;7,3;1,8;16,5
2/01/2023 16:00;20,3;10;2,2;1,3;268;29,1;0,3;1,6;7,5;9,1;1,7;14,8
2/01/2023 17:00;19,2;10;0,7;0;222;26,1;0,3;2,1;8,9;11;1,9;15,4
2/01/2023 18:00;16;16;1;0,1;269;18,5;0,5;2,4;13,5;15,9;1,8;15,4
2/01/2023 19:00;18,2;18;1,6;0,1;294;10,4;0,5;2,5;13,2;15,7;1,6;13,7
2/01/2023 20:00;12,9;10;1,3;0,1;331;7;0,5;4,2;15,2;19,4;1,6;13,2
2/01/2023 21:00;12;12;0,4;0,1;148;5,3;0,5;3;16,2;19,2;1,4;12,7
2/01/2023 22:00;17;17;0,3;0,3;320;2,2;0,6;6,1;18,7;24,9;1,3;12,7
2/01/2023 23:00;0;19;1,6;2,5;307;8,9;0,4;3,6;11,6;15,2;1,3;12,2
3/01/2023 0:00;15,2;9;1,2;0,3;291;4,4;0,4;4,5;12,7;17,1;1,2;12,3
3/01/2023 1:00;13,6;10;0,1;0;208;1,1;0,3;5,2;10,8;16;0;12,3
3/01/2023 2:00;19,7;10;0,5;0;258;3;0,3;4,5;10,7;15,1;0,2;12,3
3/01/2023 3:00;14,8;12;1;0;303;7,6;0,3;3,1;9;12,1;0,4;12,1
3/01/2023 4:00;10,5;7;0,8;0;320;4,5;0,3;3,5;8,7;12,2;0,3;11,8
3/01/2023 5:00;16;16;0,8;0;312;2,5;0,3;4,3;10,6;15;0,2;11,4
3/01/2023 6:00;13;13;0,4;0;239;0,1;0,3;7,9;11,9;19,8;0;10,2
